index,ivs_score,iat_score,iadt_score,icdp_score,iaff_score,iuof_score_01,oqi_score_01,iurd_score_01,ietr_score_01,IPCS,IEDF,IAER,ICPF,IEH,IBPD
ivs_score,1,-.2829632303196019,-.291610265270474,-.2606719342160735,-.1694825542655661,-.3632810651435627,-.1984265678896915,-.2792046350954684,-.1161567550136828,-.2560134370262821,-.0380650074305875,-.1674895216581456,-.2532623051055822,-.1383313627725382,.2777929312109002
iat_score,-.2829632303196019,1,.3863872804353091,.3752605763967822,.2018842615581958,.2774819037826932,.2574754962133224,.1978083742818202,.1805358452720515,.1698506251671704,-.1126408828439478,.1990001025708029,.2278800729347853,.0808909414332761,-.3300639770368548
iadt_score,-.291610265270474,.3863872804353091,1,.4118145550077396,.1623938782357052,.3622597247239862,.3430798856238876,.2518348846156206,.2095451712637063,.270803422983687,-.1445820439838884,.2518456001268315,.2446215419199561,.1538746763372478,-.249978547373704
icdp_score,-.2606719342160735,.3752605763967822,.4118145550077396,1,.1945825760896361,.5831246578989941,.4479795077388894,.3767781865025624,.1350753509489533,.5124464288404936,.1493526738596821,.2273560771536126,.1888986319190213,.2330432089367204,-.1875365626896911
iaff_score,-.1694825542655661,.2018842615581958,.1623938782357052,.1945825760896361,1,.2502900511231008,.3016057980117332,.2102773732523417,.2119448838631633,.1223928630391148,.0226747615592507,.1063744810036967,.1738944821636539,.0751689831575404,-.2190233309211529
iuof_score_01,-.3632810651435627,.2774819037826932,.3622597247239862,.5831246578989941,.2502900511231008,1,.6001874850435913,.4952974481396715,.3118869814436572,.6144729876752095,.1307981771001438,.2936794568632799,.225166800795964,.3578932216619747,-.292863235280806
oqi_score_01,-.1984265678896915,.2574754962133224,.3430798856238876,.4479795077388894,.3016057980117332,.6001874850435913,1,.3390869815151588,.4602173268963949,.4525011018071675,.0339585070269071,.2364198276981792,.2712047369886701,.3225216950865997,-.3200897287692349
iurd_score_01,-.2792046350954684,.1978083742818202,.2518348846156206,.3767781865025624,.2102773732523417,.4952974481396715,.3390869815151588,1,.1267180323324885,.4554978122428667,.0642142766214503,.0471433364059129,.1112657902014773,.2250309559701807,-.1753392689935493
ietr_score_01,-.1161567550136828,.1805358452720515,.2095451712637063,.1350753509489533,.2119448838631633,.3118869814436572,.4602173268963949,.1267180323324885,1,.1775190840570454,-.0520061723465786,.1198879679309281,.259083523350551,.2720566591653044,-.3664961387208156
IPCS,-.2560134370262821,.1698506251671704,.270803422983687,.5124464288404936,.1223928630391148,.6144729876752095,.4525011018071675,.4554978122428667,.1775190840570454,1,.3276858983935647,.2045109812840177,.1654840376257884,.3764859418911525,-.1933744193829657
IEDF,-.0380650074305875,-.1126408828439478,-.1445820439838884,.1493526738596821,.0226747615592507,.1307981771001438,.0339585070269071,.0642142766214503,-.0520061723465786,.3276858983935647,1,-.2315207050810386,-.1235183697376727,.1732728213709213,-.0396814116940442
IAER,-.1674895216581456,.1990001025708029,.2518456001268315,.2273560771536126,.1063744810036967,.2936794568632799,.2364198276981792,.0471433364059129,.1198879679309281,.2045109812840177,-.2315207050810386,1,.4813703055812505,-.0174884933034319,-.0887408446171978
ICPF,-.2532623051055822,.2278800729347853,.2446215419199561,.1888986319190213,.1738944821636539,.225166800795964,.2712047369886701,.1112657902014773,.259083523350551,.1654840376257884,-.1235183697376727,.4813703055812505,1,.060854903398001,-.2372782653746521
IEH,-.1383313627725382,.0808909414332761,.1538746763372478,.2330432089367204,.0751689831575404,.3578932216619747,.3225216950865997,.2250309559701807,.2720566591653044,.3764859418911525,.1732728213709213,-.0174884933034319,.060854903398001,1,-.5081492860329905
IBPD,.2777929312109002,-.3300639770368548,-.249978547373704,-.1875365626896911,-.2190233309211529,-.292863235280806,-.3200897287692349,-.1753392689935493,-.3664961387208156,-.1933744193829657,-.0396814116940442,-.0887408446171978,-.2372782653746521,-.5081492860329905,1
